Date,closing_price,adj_close_price,Tweets
16/05/15,108.029999,104.380112,
17/05/15,106.82,103.210999,
18/05/15,108.739998,105.066116,
19/05/15,107.32,103.694107,
20/05/15,105.260002,101.703697,
21/05/15,105.349998,101.790649,
22/05/15,102.709999,99.239845,
23/05/15,100.699997,97.29776,
24/05/15,96.449997,93.191338,
25/05/15,96.959999,93.68412,
26/05/15,98.529999,95.201073,
27/05/15,99.959999,96.582756,
28/05/15,97.389999,94.099594,
29/05/15,99.519997,96.157608,
30/05/15,97.129997,93.848373,
31/05/15,96.660004,93.394257,
01/06/15,96.790001,93.519867,
02/06/15,96.300003,93.046417,
03/06/15,101.419998,97.993423,
04/06/15,99.440002,96.080322,
05/06/15,99.989998,96.61174,
06/06/15,93.419998,90.263725,
07/06/15,94.089996,90.911087,
08/06/15,97.339996,94.05127,
09/06/15,96.43,93.172028,
10/06/15,94.480003,91.28791,
11/06/15,96.349998,93.094734,
12/06/15,96.599998,93.842743,
13/06/15,94.019997,91.336388,
14/06/15,95.010002,92.298134,
15/06/15,94.989998,92.278694,
16/06/15,94.269997,91.579254,
17/06/15,93.699997,91.025528,
18/06/15,93.989998,91.307251,
19/06/15,96.639999,93.881607,
20/06/15,98.120003,95.319359,
21/06/15,96.260002,93.512459,
22/06/15,96.040001,93.298737,
23/06/15,96.879997,94.114754,
24/06/15,94.690002,91.987267,
25/06/15,96.099998,93.357018,
26/06/15,96.760002,93.998184,
27/06/15,96.910004,94.143906,
28/06/15,96.690002,93.930183,
29/06/15,100.529999,97.660561,
30/06/15,100.75,97.874298,
01/07/15,101.5,98.602882,
02/07/15,103.010002,100.069786,
03/07/15,101.870003,98.962318,
04/07/15,101.029999,98.146294,
05/07/15,101.120003,98.233734,
06/07/15,101.169998,98.282295,
07/07/15,102.260002,99.341187,
08/07/15,102.519997,99.593773,
09/07/15,104.580002,101.594978,
10/07/15,105.970001,102.945305,
11/07/15,105.800003,102.780144,
12/07/15,105.919998,102.896729,
13/07/15,105.910004,102.887009,
14/07/15,106.720001,103.673882,
15/07/15,106.129997,103.100731,
16/07/15,105.669998,102.653854,
17/07/15,105.190002,102.187561,
18/07/15,107.68,104.606491,
19/07/15,109.559998,106.432831,
20/07/15,108.989998,105.879097,
21/07/15,109.989998,106.850548,
22/07/15,111.120003,107.948303,
23/07/15,109.809998,106.675682,
24/07/15,110.959999,107.79287,
25/07/15,108.540001,105.441956,
26/07/15,108.660004,105.558517,
27/07/15,109.019997,105.908234,
28/07/15,110.440002,107.287712,
29/07/15,112.040001,108.842041,
30/07/15,112.099998,108.900322,
31/07/15,109.849998,106.714546,
01/08/15,107.480003,104.412193,
02/08/15,106.910004,103.858475,
03/08/15,107.129997,104.072182,
04/08/15,105.970001,102.945305,
05/08/15,105.68,102.663574,
06/08/15,105.080002,102.080704,
07/08/15,104.349998,101.371529,
08/08/15,97.82,95.027931,
09/08/15,94.830002,92.123268,
10/08/15,93.739998,91.064392,
11/08/15,93.639999,90.967239,
12/08/15,95.18,92.46328,
13/08/15,94.190002,91.501541,
14/08/15,93.239998,91.130135,
15/08/15,92.720001,90.621895,
16/08/15,92.790001,90.690315,
